agents,candidate_id,context_id,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,feature_leakage_safe,is_best_candidate_in_context,iteration,map,oracle_gap_vs_static,probe_expanded_nodes,probe_feasible,probe_low_level_pibt_calls,probe_lower_bound,probe_runtime_ms,probe_solution_found,probe_sum_of_loss,probe_sum_of_loss_ratio,resolved_candidate_id,seed,trace_event_count,traffic_before_hash_full,updateparams_fingerprint,updateparams_hash
50,additive_ltm,random-32-32-20|a50|s146|it0|repair5g54_counterfactual_static_context,0,0.0381720430108,True,False,0,random-32-32-20,0,56,True,2750,1860,159.874,True,1266,0.68064516129,additive_ltm,146,2676,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,35049bacad216c02
50,repair5g2_best_frozen_static_candidate,random-32-32-20|a50|s146|it0|repair5g54_counterfactual_static_context,-0.0381720430108,0,True,True,0,random-32-32-20,0,48,True,2350,1860,243.2066,True,1195,0.64247311828,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,146,2676,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,29737bed70c56f0d
50,repair5g2_frozen_static_or_selector,random-32-32-20|a50|s146|it0|repair5g54_counterfactual_static_context,-0.0381720430108,0,True,False,0,random-32-32-20,0,48,True,2350,1860,253.3042,True,1195,0.64247311828,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,146,2676,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,29737bed70c56f0d
50,repair5g2_c_equiv_best_frozen_baseline,random-32-32-20|a50|s146|it0|repair5g54_counterfactual_static_context,0,0.0381720430108,True,False,0,random-32-32-20,0,56,True,2750,1860,165.9772,True,1266,0.68064516129,repair5g_dual_c_equiv_c100_b100_w075_d100,146,2676,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,35049bacad216c02
50,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,random-32-32-20|a50|s146|it0|repair5g54_counterfactual_static_context,-0.0349462365591,0.00322580645161,True,False,0,random-32-32-20,0,48,True,2350,1860,227.0928,True,1201,0.645698924731,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,146,2676,14650fb0739d0383,alpha_commit=1|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=1|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,710a819950a16074
50,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,random-32-32-20|a50|s146|it0|repair5g54_counterfactual_static_context,-0.0182795698925,0.0198924731183,True,False,0,random-32-32-20,0,52,True,2550,1860,232.6215,True,1232,0.662365591398,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,146,2676,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.20000000000000001|max_flow_shield=0.5,c330ca813057d242
50,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,random-32-32-20|a50|s146|it0|repair5g54_counterfactual_static_context,-0.0381720430108,0,True,False,0,random-32-32-20,0,48,True,2350,1860,229.9067,True,1195,0.64247311828,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,146,2676,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,29737bed70c56f0d
50,additive_ltm,random-32-32-20|a50|s146|it1|repair5g54_counterfactual_static_context,0,0.0731182795699,True,False,1,random-32-32-20,-0.0215053763441,63,True,3099,1860,167.6291,True,1378,0.740860215054,additive_ltm,146,2462,4a2ab24fbfbe4364,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,35049bacad216c02
50,repair5g2_best_frozen_static_candidate,random-32-32-20|a50|s146|it1|repair5g54_counterfactual_static_context,-0.0731182795699,0,True,False,1,random-32-32-20,-0.0215053763441,54,True,2649,1860,231.9865,True,1242,0.667741935484,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,146,2462,4a2ab24fbfbe4364,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,29737bed70c56f0d
50,repair5g2_frozen_static_or_selector,random-32-32-20|a50|s146|it1|repair5g54_counterfactual_static_context,-0.0731182795699,0,True,False,1,random-32-32-20,-0.0215053763441,54,True,2649,1860,240.2124,True,1242,0.667741935484,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,146,2462,4a2ab24fbfbe4364,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,29737bed70c56f0d
