example_id,category,source_method,map,map_family,agents,seed,budget_ms,blend_to_g556,weight,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g561_hn_ft_00000,success_regression,F7_full_goal_aware_actor_training_critic,g561-loop-56x56-a-v0,loop,64,561000080,5000,1.0,3.0,False,False,False,False,False
g561_hn_ft_00001,success_regression,F6_full_goal_aware_dual_channel_actor,g561-loop-56x56-a-v0,loop,64,561001248,5000,1.0,3.0,False,False,False,False,False
g561_hn_ft_00002,success_regression,F7_full_goal_aware_actor_training_critic,g561-loop-56x56-a-v0,loop,64,561001248,5000,1.0,3.0,False,False,False,False,False
g561_hn_ft_00003,success_regression,F6_full_goal_aware_dual_channel_actor,g561-loop-56x56-a-v1,loop,64,561001321,5000,1.0,3.0,False,False,False,False,False
g561_hn_ft_00004,success_regression,F7_full_goal_aware_actor_training_critic,g561-string-64x32-a-v0,irregular_bottleneck,24,561000856,1500,1.0,3.0,False,False,False,False,False
g561_hn_ft_00005,success_regression,F6_full_goal_aware_dual_channel_actor,g561-string-64x32-a-v1,irregular_bottleneck,24,561000783,1500,1.0,3.0,False,False,False,False,False
g561_hn_ft_00006,success_regression,F7_full_goal_aware_actor_training_critic,g561-string-64x32-a-v1,irregular_bottleneck,24,561000783,1500,1.0,3.0,False,False,False,False,False
g561_hn_ft_00007,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-empty-8x8-v1,empty,32,561000711,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00008,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,32,561000711,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00009,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-empty-8x8-v1,empty,32,561000273,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00010,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,32,561000127,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00011,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,32,561000273,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00012,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,32,561001003,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00013,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,32,561001149,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00014,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-loop-56x56-a-v0,loop,64,561000664,5000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00015,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-tree-56x40-a-v0,tree,32,561000548,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00016,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-random-24x24-a-v1,random,48,561000363,3000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00017,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-empty-8x8-v1,empty,32,561001003,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00018,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,random-32-32-20,random,256,7317,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00019,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,random-32-32-20,random,256,7653,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00020,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-empty-8x8-v1,empty,32,561001295,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00021,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-loop-56x56-a-v0,loop,64,561001102,5000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00022,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,random-32-32-20,random,256,7317,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00023,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,12,561000521,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00024,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,random-32-32-20,random,256,7653,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00025,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-random-24x24-a-v1,random,48,561000509,3000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00026,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-random-24x24-a-v1,random,48,561000509,3000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00027,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,random-32-32-20,random,256,7557,1500,0.75,2.0,False,False,False,False,False
g561_hn_ft_00028,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-loop-56x56-a-v0,loop,64,561000226,5000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00029,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-random-24x24-a-v1,random,48,561000363,3000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00030,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-random-24x24-a-v1,random,48,561000801,3000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00031,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,random-32-32-20,random,256,7725,8000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00032,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,random-32-32-20,random,256,7005,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00033,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,12,561000813,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00034,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-empty-8x8-v1,empty,12,561000813,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00035,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,random-32-32-20,random,256,7245,1500,0.75,2.0,False,False,False,False,False
g561_hn_ft_00036,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,random-32-32-20,random,256,7557,1500,0.75,2.0,False,False,False,False,False
g561_hn_ft_00037,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-random-32x32-a-v0,random,80,561000276,8000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00038,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,random-32-32-20,random,256,7077,8000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00039,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,32,561001295,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00040,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,random-32-32-20,random,256,7005,750,0.75,2.0,False,False,False,False,False
g561_hn_ft_00041,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-random-32x32-a-v0,random,80,561000568,8000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00042,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,g561-random-24x24-a-v1,random,48,561000071,3000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00043,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,random-32-32-20,random,256,7365,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00044,large_positive_quality_delta,F7_full_goal_aware_actor_training_critic,random-32-32-20,random,256,7365,2000,0.75,2.0,False,False,False,False,False
g561_hn_ft_00045,large_positive_quality_delta,F6_full_goal_aware_dual_channel_actor,g561-empty-8x8-v1,empty,12,561000375,750,0.75,2.0,False,False,False,False,False
