g550_iter_probe_row_id,execution_mode,counts_as_new_g546_solver_row,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields,counts_as_new_g550_solver_row,g550_stage
g550_iter_probe_00000000,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,random-32-32-20,random,50,2022,2000,0,True,True,1.29531568228,1272,982,267.6976,47,2299,2084,0,0.12932790224,False,-0.0315682281059,True,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,0,1,0,50,2000,0,2084,41.68,0,47,0,2299,0.94,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,additive_ltm,,,,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000001,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,random-32-32-20,random,50,2022,2000,0,True,True,1.16598778004,1145,982,398.5873,44,2150,2084,-0.12932790224,0,False,-0.0315682281059,True,29737bed70c56f0d,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,44,0,2150,0.88,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,static_flow_shield,,,,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000002,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,random-32-32-20,random,50,2022,2000,0,True,True,1.16191446029,1141,982,403.4749,42,2049,2084,-0.133401221996,-0.0040733197556,False,-0.0315682281059,True,fbcf27bf34de68c,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.59999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,42,0,2049,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,frozen_family_static_goal_aware,,,,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000003,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,generated_theta::repair5g550_theta_550000033,repair5g550_theta_550000033,repair5g550_theta_550000033,g549_true_region_dense_local_perturbation,random-32-32-20,random,50,2022,2000,0,True,True,1.13441955193,1114,982,413.3976,44,2149,2084,-0.160896130346,-0.0315682281059,True,-0.0315682281059,True,d3f68bfd773c917f,alpha_commit=0.95282222004499995|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=0.95282222004499995|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1.0800000000000001|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.883502850339|lambda_flow=0.90000000000000002|min_edge_cost=1|max_edge_cost=11.44|goal_projection_mode=flow_shield|flow_shield_beta=0.27300000000000002|max_flow_shield=0.91500000000000004,14650fb0739d0383,1.25,0.952822220045,1.25,0.75,0.75,1,1.08,0.95,1,0.883502850339,0.9,0.273,0.915,1,11.44,1,0,0,0,1,0,50,2000,0,2084,41.68,0,44,0,2149,0.88,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,g549_true_region_dense_local_perturbation,local_0032_23,g549_true_region_dense_local_perturbation,g550_registry_000033,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000004,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,generated_theta::repair5g550_theta_550000034,repair5g550_theta_550000034,repair5g550_theta_550000034,g549_true_region_centroid,random-32-32-20,random,50,2022,2000,0,True,True,1.15478615071,1134,982,395.1352,42,2050,2084,-0.140529531568,-0.0112016293279,False,-0.0315682281059,True,39d859ed798ea0e2,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.59377740296199999|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0.76898843098900005|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0.593777402962,0.95,1,1,0.768988430989,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,g549_true_region_centroid,centroid_0033,g549_true_region_centroid,g550_registry_000034,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000005,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,generated_theta::repair5g550_theta_550000035,repair5g550_theta_550000035,repair5g550_theta_550000035,conservative_shrinkage_25,random-32-32-20,random,50,2022,2000,0,True,True,1.15478615071,1134,982,395.1118,42,2050,2084,-0.140529531568,-0.0112016293279,False,-0.0315682281059,True,8c7967a146c0db77,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.89844435074100004|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0.94224710774700005|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0.898444350741,0.95,1,1,0.942247107747,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,conservative_shrinkage_25,shrink_25_0034,conservative_shrinkage_25,g550_registry_000035,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000006,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,generated_theta::repair5g550_theta_550000036,repair5g550_theta_550000036,repair5g550_theta_550000036,conservative_shrinkage_50,random-32-32-20,random,50,2022,2000,0,True,True,1.15478615071,1134,982,409.0379,42,2050,2084,-0.140529531568,-0.0112016293279,False,-0.0315682281059,True,e9d8e3f3c300eec5,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.79688870148099999|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0.88449421549399998|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0.796888701481,0.95,1,1,0.884494215494,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,conservative_shrinkage_50,shrink_50_0035,conservative_shrinkage_50,g550_registry_000036,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000007,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,generated_theta::repair5g550_theta_550000037,repair5g550_theta_550000037,repair5g550_theta_550000037,conservative_shrinkage_75,random-32-32-20,random,50,2022,2000,0,True,True,1.15478615071,1134,982,405.1836,42,2050,2084,-0.140529531568,-0.0112016293279,False,-0.0315682281059,True,edfd3e245fa1ce4b,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.69533305222200004|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0.826741323242|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0.695333052222,0.95,1,1,0.826741323242,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,conservative_shrinkage_75,shrink_75_0036,conservative_shrinkage_75,g550_registry_000037,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000008,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,generated_theta::repair5g550_theta_550000038,repair5g550_theta_550000038,repair5g550_theta_550000038,g549_true_region_best_examples,random-32-32-20,random,50,2022,2000,0,True,True,1.15478615071,1134,982,391.445,42,2050,2084,-0.140529531568,-0.0112016293279,False,-0.0315682281059,True,ed7016cc24811a80,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.42353540292899999|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0.86799426401099999|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0.423535402929,0.95,1,1,0.867994264011,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,g549_true_region_best_examples,best_0_0037,g549_true_region_best_examples,g550_registry_000038,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
g550_iter_probe_00000009,new_g550_iteration_counterfactual_label_solver_row,True,True,random-32-32-20|50|2022|2000|0|14650fb0739d0383,random-32-32-20|a50|s2022|it0|g550_iteration_counterfactual_label_random_32_32_20_a50_s2022_hiter_cf_short2000_t050_i2_b2000,generated_theta::repair5g550_theta_550000039,repair5g550_theta_550000039,repair5g550_theta_550000039,g549_true_region_best_examples,random-32-32-20,random,50,2022,2000,0,True,True,1.15478615071,1134,982,397.1343,42,2050,2084,-0.140529531568,-0.0112016293279,False,-0.0315682281059,True,27bacbe14bdebae8,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.42345665308699998|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0.43308663382700002|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0.423456653087,0.95,1,1,0.433086633827,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2084,41.68,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,iteration_counterfactual_label,H_iteration_counterfactual_label_probe,iter_cf_short2000_t050_i2,2000,2000,0.5,2,2020_2039,g549_true_region_best_examples,best_1_0038,g549_true_region_best_examples,g550_registry_000039,,,random-32-32-20|50|2022|2000|iter_cf_short2000_t050_i2,True,,True,g550_iteration_counterfactual_label
